"Step","baseline_without_fpn_again - train_loss","baseline_without_fpn_again - train_loss__MIN","baseline_without_fpn_again - train_loss__MAX"
"0","0.8636050942868191","0.8636050942868191","0.8636050942868191"
"1","0.6662666668952465","0.6662666668952465","0.6662666668952465"
"2","0.5994710900373091","0.5994710900373091","0.5994710900373091"
"3","0.5549722475368575","0.5549722475368575","0.5549722475368575"
"4","0.5235903907640858","0.5235903907640858","0.5235903907640858"
"5","0.49822401554654033","0.49822401554654033","0.49822401554654033"
"6","0.47919685970413606","0.47919685970413606","0.47919685970413606"
"7","0.4624742515812701","0.4624742515812701","0.4624742515812701"
"8","0.4493208092725849","0.4493208092725849","0.4493208092725849"
"9","0.4404104344708002","0.4404104344708002","0.4404104344708002"
"10","0.42991660032088425","0.42991660032088425","0.42991660032088425"
"11","0.4231092406547193","0.4231092406547193","0.4231092406547193"
"12","0.4128783123317128","0.4128783123317128","0.4128783123317128"
"13","0.4059108596922425","0.4059108596922425","0.4059108596922425"
"14","0.4003190739695351","0.4003190739695351","0.4003190739695351"
"15","0.39480795721792433","0.39480795721792433","0.39480795721792433"
"16","0.38928736820606724","0.38928736820606724","0.38928736820606724"
"17","0.38350025566534846","0.38350025566534846","0.38350025566534846"
"18","0.3784897035427623","0.3784897035427623","0.3784897035427623"
"19","0.37312492180128537","0.37312492180128537","0.37312492180128537"
"20","0.3671117440524913","0.3671117440524913","0.3671117440524913"
"21","0.3649811173595579","0.3649811173595579","0.3649811173595579"
"22","0.36188011875101","0.36188011875101","0.36188011875101"
"23","0.35786345786119783","0.35786345786119783","0.35786345786119783"
"24","0.3546956483894996","0.3546956483894996","0.3546956483894996"
"25","0.35082188943928405","0.35082188943928405","0.35082188943928405"
"26","0.3482205864403008","0.3482205864403008","0.3482205864403008"
"27","0.3479645803136189","0.3479645803136189","0.3479645803136189"
"28","0.3470145430860941","0.3470145430860941","0.3470145430860941"
"29","0.3460397245826748","0.3460397245826748","0.3460397245826748"
