"Step","exp5-dropout0.2-lr2e4-warmup-labelsmooth-50ep - train_loss","exp5-dropout0.2-lr2e4-warmup-labelsmooth-50ep - train_loss__MIN","exp5-dropout0.2-lr2e4-warmup-labelsmooth-50ep - train_loss__MAX"
"0","0.5931193164689073","0.5931193164689073","0.5931193164689073"
"1","0.5608555875851765","0.5608555875851765","0.5608555875851765"
"2","0.5414379461408222","0.5414379461408222","0.5414379461408222"
"3","0.5226343129450493","0.5226343129450493","0.5226343129450493"
"4","0.5108080055505065","0.5108080055505065","0.5108080055505065"
"5","0.48456030764449687","0.48456030764449687","0.48456030764449687"
"6","0.46598915403896307","0.46598915403896307","0.46598915403896307"
"7","0.4521208436754887","0.4521208436754887","0.4521208436754887"
"8","0.4398376292225783","0.4398376292225783","0.4398376292225783"
"9","0.4285328948234233","0.4285328948234233","0.4285328948234233"
"10","0.41911969390660103","0.41911969390660103","0.41911969390660103"
"11","0.4078571511991497","0.4078571511991497","0.4078571511991497"
"12","0.39939803005610564","0.39939803005610564","0.39939803005610564"
"13","0.3922993272178485","0.3922993272178485","0.3922993272178485"
"14","0.3870174857040452","0.3870174857040452","0.3870174857040452"
"15","0.3797460084015316","0.3797460084015316","0.3797460084015316"
"16","0.3739772125279578","0.3739772125279578","0.3739772125279578"
"17","0.36802019997520036","0.36802019997520036","0.36802019997520036"
"18","0.3627893486930196","0.3627893486930196","0.3627893486930196"
"19","0.3584796784485945","0.3584796784485945","0.3584796784485945"
"20","0.35422383745044106","0.35422383745044106","0.35422383745044106"
"21","0.3481696307771293","0.3481696307771293","0.3481696307771293"
"22","0.34028659282937324","0.34028659282937324","0.34028659282937324"
"23","0.3362315333012916","0.3362315333012916","0.3362315333012916"
"24","0.33131488577330437","0.33131488577330437","0.33131488577330437"
"25","0.3270424217938928","0.3270424217938928","0.3270424217938928"
"26","0.3224990246633483","0.3224990246633483","0.3224990246633483"
"27","0.31900350338764494","0.31900350338764494","0.31900350338764494"
"28","0.3127898767744721","0.3127898767744721","0.3127898767744721"
"29","0.30849372537373826","0.30849372537373826","0.30849372537373826"
"30","0.30483030129017297","0.30483030129017297","0.30483030129017297"
"31","0.3001582704673706","0.3001582704673706","0.3001582704673706"
"32","0.2965058337543107","0.2965058337543107","0.2965058337543107"
"33","0.2924654636030924","0.2924654636030924","0.2924654636030924"
"34","0.28741092194898554","0.28741092194898554","0.28741092194898554"
"35","0.2845182063466294","0.2845182063466294","0.2845182063466294"
"36","0.2807441287773012","0.2807441287773012","0.2807441287773012"
"37","0.2773447489665571","0.2773447489665571","0.2773447489665571"
"38","0.273653043109857","0.273653043109857","0.273653043109857"
"39","0.2706622980948562","0.2706622980948562","0.2706622980948562"
"40","0.26789112370864243","0.26789112370864243","0.26789112370864243"
"41","0.26533129420184015","0.26533129420184015","0.26533129420184015"
"42","0.2633551682432306","0.2633551682432306","0.2633551682432306"
"43","0.26127588164380217","0.26127588164380217","0.26127588164380217"
"44","0.25926893834560855","0.25926893834560855","0.25926893834560855"
"45","0.2580895358565161","0.2580895358565161","0.2580895358565161"
"46","0.2563799398189878","0.2563799398189878","0.2563799398189878"
"47","0.2557918216861427","0.2557918216861427","0.2557918216861427"
"48","0.25465143133420937","0.25465143133420937","0.25465143133420937"
"49","0.2543297871484694","0.2543297871484694","0.2543297871484694"
