"Step","exp4-dropout-adamw-cosine-40epochs - train_loss","exp4-dropout-adamw-cosine-40epochs - train_loss__MIN","exp4-dropout-adamw-cosine-40epochs - train_loss__MAX"
"0","0.5581556440016512","0.5581556440016512","0.5581556440016512"
"1","0.5177890308769043","0.5177890308769043","0.5177890308769043"
"2","0.4865741461711679","0.4865741461711679","0.4865741461711679"
"3","0.47127023497675236","0.47127023497675236","0.47127023497675236"
"4","0.45315090821300713","0.45315090821300713","0.45315090821300713"
"5","0.44465526965072666","0.44465526965072666","0.44465526965072666"
"6","0.4324972030697066","0.4324972030697066","0.4324972030697066"
"7","0.422211525174995","0.422211525174995","0.422211525174995"
"8","0.4167530805657522","0.4167530805657522","0.4167530805657522"
"9","0.4099551661050443","0.4099551661050443","0.4099551661050443"
"10","0.40234632356931666","0.40234632356931666","0.40234632356931666"
"11","0.39408633867077186","0.39408633867077186","0.39408633867077186"
"12","0.3855539036884918","0.3855539036884918","0.3855539036884918"
"13","0.3768004959804879","0.3768004959804879","0.3768004959804879"
"14","0.36996017814187204","0.36996017814187204","0.36996017814187204"
"15","0.3624740316833064","0.3624740316833064","0.3624740316833064"
"16","0.3563580183016166","0.3563580183016166","0.3563580183016166"
"17","0.3555048554434826","0.3555048554434826","0.3555048554434826"
"18","0.3478703475290049","0.3478703475290049","0.3478703475290049"
"19","0.33988136458206264","0.33988136458206264","0.33988136458206264"
"20","0.33459622325307337","0.33459622325307337","0.33459622325307337"
"21","0.32955492514265333","0.32955492514265333","0.32955492514265333"
"22","0.3248568516599605","0.3248568516599605","0.3248568516599605"
"23","0.31950263289326447","0.31950263289326447","0.31950263289326447"
"24","0.3170086218294734","0.3170086218294734","0.3170086218294734"
"25","0.30982587855880483","0.30982587855880483","0.30982587855880483"
"26","0.3053731410181534","0.3053731410181534","0.3053731410181534"
"27","0.3019578910922511","0.3019578910922511","0.3019578910922511"
"28","0.29737545626968676","0.29737545626968676","0.29737545626968676"
"29","0.2940026690319587","0.2940026690319587","0.2940026690319587"
"30","0.2892889698243657","0.2892889698243657","0.2892889698243657"
"31","0.2847002840417797","0.2847002840417797","0.2847002840417797"
"32","0.28252695889149987","0.28252695889149987","0.28252695889149987"
"33","0.2798406317311419","0.2798406317311419","0.2798406317311419"
"34","0.2769847958719293","0.2769847958719293","0.2769847958719293"
"35","0.27525033731003024","0.27525033731003024","0.27525033731003024"
"36","0.2738208058916614","0.2738208058916614","0.2738208058916614"
"37","0.2726074013217709","0.2726074013217709","0.2726074013217709"
"38","0.27189059428667417","0.27189059428667417","0.27189059428667417"
"39","0.271244060777317","0.271244060777317","0.271244060777317"
