"Step","fasterrcnn-dpm - train_loss","fasterrcnn-dpm - train_loss__MIN","fasterrcnn-dpm - train_loss__MAX"
"0","0.5359560067319467","0.5359560067319467","0.5359560067319467"
"1","0.48989532353848864","0.48989532353848864","0.48989532353848864"
"2","0.4597217993756453","0.4597217993756453","0.4597217993756453"
"3","0.41334416106805866","0.41334416106805866","0.41334416106805866"
"4","0.3989879388996485","0.3989879388996485","0.3989879388996485"
"5","0.38592052650361947","0.38592052650361947","0.38592052650361947"
"6","0.36358524697744277","0.36358524697744277","0.36358524697744277"
"7","0.35584936675774187","0.35584936675774187","0.35584936675774187"
"8","0.3489461369595209","0.3489461369595209","0.3489461369595209"
"9","0.3371711312771292","0.3371711312771292","0.3371711312771292"
"10","0.3324643103922748","0.3324643103922748","0.3324643103922748"
"11","0.32991859946235214","0.32991859946235214","0.32991859946235214"
"12","0.3232379308704599","0.3232379308704599","0.3232379308704599"
"13","0.32132033557961376","0.32132033557961376","0.32132033557961376"
"14","0.3203476181118867","0.3203476181118867","0.3203476181118867"
"15","0.3164563070516595","0.3164563070516595","0.3164563070516595"
"16","0.3149556330180011","0.3149556330180011","0.3149556330180011"
"17","0.31441207000195476","0.31441207000195476","0.31441207000195476"
"18","0.31238107266901577","0.31238107266901577","0.31238107266901577"
"19","0.3122262304275527","0.3122262304275527","0.3122262304275527"
"20","0.31078804493903667","0.31078804493903667","0.31078804493903667"
"21","0.3101660168518576","0.3101660168518576","0.3101660168518576"
"22","0.31038178486691703","0.31038178486691703","0.31038178486691703"
"23","0.30985431923326856","0.30985431923326856","0.30985431923326856"
"24","0.30935454777917654","0.30935454777917654","0.30935454777917654"
"25","0.30963119774748443","0.30963119774748443","0.30963119774748443"
"26","0.30901680875531035","0.30901680875531035","0.30901680875531035"
"27","0.3084664498565338","0.3084664498565338","0.3084664498565338"
"28","0.3085748598344014","0.3085748598344014","0.3085748598344014"
"29","0.3090928844820186","0.3090928844820186","0.3090928844820186"
